unix,low,high,open,close,volume,date,vol_fiat
1641340800,42500.0,47076.55,45817.13,43436.04,25067.67476765,2022-01-05,1088840523.9146361
1641254400,45515.0,47532.89,46459.57,45814.61,16320.32712866,2022-01-04,747709422.4719777
1641168000,45700.0,47583.33,47299.06,46459.56,10841.81020453,2022-01-03,503705731.7059738
1641081600,46633.36,47990.0,47733.43,47299.07,6833.49845548,2022-01-02,323218121.7906404
1640995200,46205.0,47967.12,46211.24,47733.43,9463.6617111,2022-01-01,451733033.83047205
1640908800,45650.0,48574.7,47122.09,46211.24,19010.24134509,2021-12-31,878486825.2558767
1640822400,45938.44,47926.15,46471.24,47122.08,27413.65364976,2021-12-30,1291788380.3762827
1640736000,46094.02,48149.58,47542.2,46471.24,20326.32142372,2021-12-29,944589361.1988338
1640649600,47300.23,50720.35,50720.35,47543.09,23116.75583707,2021-12-28,1099042003.2698443
1640563200,50480.0,52100.0,50804.33,50717.77,11596.91468191,2021-12-27,588169651.5467346
1640476800,49460.0,51295.33,50428.31,50801.79,6863.39473781,2021-12-26,348672738.15732867
1640390400,50191.84,51171.68,50852.31,50428.31,5550.57153185,2021-12-25,279905941.88530666
1640304000,50445.55,51878.6,50842.06,50851.38,11690.45418179,2021-12-24,594475727.9707924
1640217600,48032.16,51397.82,48608.61,50842.2,16627.04627954,2021-12-23,845355612.3536286
1640131200,48450.0,49595.0,48914.7,48608.62,10753.4990677,2021-12-22,522712749.85218364
1640044800,46645.05,49339.31,46926.07,48914.7,15461.4105731,2021-12-21,756290259.7600145
1639958400,45568.0,47548.93,46687.2,46926.07,16039.38510407,2021-12-20,752665308.1505461
1639872000,46440.11,48351.92,46857.49,46687.19,9518.7071282,2021-12-19,444401688.2486278
1639785600,45515.72,47368.73,46159.87,46859.46,8170.85303229,2021-12-18,382881760.83247197
1639699200,45469.32,48000.0,47634.2,46166.5,18556.07900007,2021-12-17,856669221.1567316
1639612800,47524.66,49459.39,48878.83,47634.22,12731.23681745,2021-12-16,606442535.4345132
1639526400,46530.0,49500.0,48359.23,48884.78,21621.70983741,2021-12-15,1056972528.6256236
1639440000,46300.0,48686.91,46727.89,48367.43,17107.0342879,2021-12-14,827423283.4276032
1639353600,45727.92,50218.42,50089.64,46727.89,20797.28834629,2021-12-13,971813402.143721
